id,code,name_in_thai,name_in_english,province_id
326,3601,"เมืองชัยภูมิ","Mueang Chaiyaphum",25
327,3602,"บ้านเขว้า","Ban Khwao",25
328,3603,"คอนสวรรค์","Khon Sawan",25
329,3604,"เกษตรสมบูรณ์","Kaset Sombun",25
330,3605,"หนองบัวแดง","Nong Bua Daeng",25
331,3606,"จัตุรัส","Chatturat",25
332,3607,"บำเหน็จณรงค์","Bamnet Narong",25
333,3608,"หนองบัวระเหว","Nong Bua Rawe",25
334,3609,"เทพสถิต","Thep Sathit",25
335,3610,"ภูเขียว","Phu Khiao",25
336,3611,"บ้านแท่น","Ban Thaen",25
337,3612,"แก้งคร้อ","Kaeng Khro",25
338,3613,"คอนสาร","Khon San",25
339,3614,"ภักดีชุมพล","Phakdi Chumphon",25
340,3615,"เนินสง่า","Noen Sa-nga",25
341,3616,"ซับใหญ่","Sap Yai",25
342,3701,"เมืองอำนาจเจริญ","Mueang Amnat Charoen",26
343,3702,"ชานุมาน","Chanuman",26
344,3703,"ปทุมราชวงศา","Pathum Ratchawongsa",26
345,3704,"พนา","Phana",26
346,3705,"เสนางคนิคม","Senangkhanikhom",26
347,3706,"หัวตะพาน","Hua Taphan",26
348,3707,"ลืออำนาจ","Lue Amnat",26
349,3801,"บึงกาฬ","Bueng Kan",27
350,3802,"พรเจริญ","Phon Charoen",27
351,3803,"โซ่พิสัย","So Phisai",27
352,3804,"เซกา","Seka",27
353,3805,"ปากคาด","Pak Khat",27
354,3806,"บึงโขงหลง","Bueng Khong Long",27
355,3807,"ศรีวิไล","Si Wilai",27
356,3808,"บุ่งคล้า","Bung Khla",27
357,3901,"เมืองหนองบัวลำภู","Mueang Nong Bua Lam Phu",28
358,3902,"นากลาง","Na Klang",28
359,3903,"โนนสัง","Non Sang",28
360,3904,"ศรีบุญเรือง","Si Bun Rueang",28
361,3905,"สุวรรณคูหา","Suwannakhuha",28
362,3906,"นาวัง","Na Wang",28
363,4001,"เมืองขอนแก่น","Mueang Khon Kaen",29
364,4002,"บ้านฝาง","Ban Fang",29
365,4003,"พระยืน","Phra Yuen",29
366,4004,"หนองเรือ","Nong Ruea",29
367,4005,"ชุมแพ","Chum Phae",29
368,4006,"สีชมพู","Si Chomphu",29
369,4007,"น้ำพอง","Nam Phong",29
370,4008,"อุบลรัตน์","Ubolratana",29
371,4009,"กระนวน","Kranuan",29
372,4010,"บ้านไผ่","Ban Phai",29
373,4011,"เปือยน้อย","Pueai Noi",29
374,4012,"พล","Phon",29
375,4013,"แวงใหญ่","Waeng Yai",29
376,4014,"แวงน้อย","Waeng Noi",29
377,4015,"หนองสองห้อง","Nong Song Hong",29
378,4016,"ภูเวียง","Phu Wiang",29
379,4017,"มัญจาคีรี","Mancha Khiri",29
380,4018,"ชนบท","Chonnabot",29
381,4019,"เขาสวนกวาง","Khao Suan Kwang",29
382,4020,"ภูผาม่าน","Phu Phaman",29
383,4021,"ซำสูง","Sam Sung",29
384,4022,"โคกโพธิ์ไชย","Khok Pho Chai",29
385,4023,"หนองนาคำ","Nong Na Kham",29
386,4024,"บ้านแฮด","Ban Haet",29
387,4025,"โนนศิลา","Non Sila",29
388,4026,"เวียงเก่า","Wiang Kao",29
389,4101,"เมืองอุดรธานี","Mueang Udon Thani",30
390,4102,"กุดจับ","Kut Chap",30
391,4103,"หนองวัวซอ","Nong Wua So",30
392,4104,"กุมภวาปี","Kumphawapi",30
393,4105,"โนนสะอาด","Non Sa-at",30
394,4106,"หนองหาน","Nong Saeng",30
395,4107,"ทุ่งฝน","Thung Fon",30
396,4108,"ไชยวาน","Chai Wan",30
397,4109,"ศรีธาตุ","Si That",30
398,4110,"วังสามหมอ","Wang Sam Mo",30
399,4111,"บ้านดุง","Ban Dung",30
400,4117,"บ้านผือ","Ban Phue",30
401,4118,"น้ำโสม","Nam Som",30
402,4119,"เพ็ญ","Phen",30
403,4120,"สร้างคอม","Sang Khom",30
404,4121,"หนองแสง","Nong Saeng",30
405,4122,"นายูง","Na Yung",30
406,4123,"พิบูลย์รักษ์","Phibun Rak",30
407,4124,"กู่แก้ว","Ku Kaeo",30
408,4125,"ประจักษ์ศิลปาคม","Prachaksinlapakhom",30
409,4201,"เมืองเลย","Mueang Loei",31
410,4202,"นาด้วง","Na Duang",31
411,4203,"เชียงคาน","Chiang Khan",31
412,4204,"ปากชม","Pak Chom",31
413,4205,"ด่านซ้าย","Dan Sai",31
414,4206,"นาแห้ว","Na Haeo",31
415,4207,"ภูเรือ","Phu Ruea",31
416,4208,"ท่าลี่","Tha Li",31
417,4209,"วังสะพุง","Wang Saphung",31
418,4210,"ภูกระดึง","Phu Kradueng",31
419,4211,"ภูหลวง","Phu Luang",31
420,4212,"ผาขาว","Pha  Khao",31
421,4213,"เอราวัณ","Erawan",31
422,4214,"หนองหิน","Nong Hin",31
423,4301,"เมืองหนองคาย","Mueang Nong Khai",32
424,4302,"ท่าบ่อ","Tha Bo",32
425,4305,"โพนพิสัย","Phon Phisai",32
426,4307,"ศรีเชียงใหม่","Si Chiang Mai",32
427,4308,"สังคม","Sangkhom",32
428,4314,"สระใคร","Sakhrai",32
429,4315,"เฝ้าไร่","Fao Rai",32
430,4316,"รัตนวาปี","Rattanawapi",32
431,4317,"โพธิ์ตาก","Pho Tak",32
432,4401,"เมืองมหาสารคาม","Mueang Maha Sarakham",33
433,4402,"แกดำ","Kae Dam",33
434,4403,"โกสุมพิสัย","Kosum Phisai",33
435,4404,"กันทรวิชัย","Kantharawichai",33
436,4405,"เชียงยืน","Chiang Yuen",33
437,4406,"บรบือ","Borabue",33
438,4407,"นาเชือก","Na Chueak",33
439,4408,"พยัคฆภูมิพิสัย","Phayakkhaphum Phisai",33
440,4409,"วาปีปทุม","Wapi Pathum",33
441,4410,"นาดูน","Na Dun",33
442,4411,"ยางสีสุราช","Yang Sisurat",33
443,4412,"กุดรัง","Kut Rang",33
